player_id,first_name,last_name,name,date_of_birth,position,foot,height_in_cm,contract_expiration_date,agent_name,country_of_birth,country_of_citizenship
1428,Mike,Hanke,Mike Hanke,1983-11-05,Attack,right,185.0,,nan,Germany,Germany
1443,Christian,Poulsen,Christian Poulsen,1980-02-28,Midfield,right,181.0,,nan,Denmark,Denmark
1474,Tim,Wiese,Tim Wiese,1981-12-17,Goalkeeper,nan,,,nan,Germany,Germany
1496,Heiko,Butscher,Heiko Butscher,1980-07-28,Defender,both,189.0,,nan,Germany,Germany
1532,Wesley,Sonck,Wesley Sonck,1978-08-09,Missing,right,174.0,,nan,Belgium,Belgium
1560,Youssef,El Akchaoui,Youssef El Akchaoui,1981-02-18,Defender,nan,,,nan,Netherlands,Morocco
1565,Alexander,Meier,Alexander Meier,1983-01-17,Attack,right,196.0,,nan,Germany,Germany
1568,Stefan,Reisinger,Stefan Reisinger,1981-09-14,Attack,right,185.0,,nan,Germany,Germany
1572,Andreas,Wolf,Andreas Wolf,1982-06-12,Defender,right,182.0,,nan,UdSSR,Germany
1573,Thomas,Hitzlsperger,Thomas Hitzlsperger,1982-04-05,Midfield,nan,,,nan,Germany,Germany
1586,Christian,Schulz,Christian Schulz,1983-04-01,Defender,left,185.0,,ARP Sportmarketing,Germany,Germany
1587,Mario,Eggimann,Mario Eggimann,,Defender,right,190.0,,nan,Switzerland,Switzerland
1606,Morten,Rasmussen,Morten Rasmussen,1985-03-26,Defender,right,188.0,,nan,Denmark,Denmark
1613,nan,Vivian,Vivian,1982-04-05,Defender,nan,,,nan,Brazil,Brazil
1659,Dennis,Kruppke,Dennis Kruppke,1980-04-01,Attack,both,179.0,,nan,Germany,Germany
1662,Sascha,Riether,Sascha Riether,1983-03-23,Defender,nan,,,Sports360 GmbH,Germany,Germany
1667,Diego,Benaglio,Diego Benaglio,1983-09-08,Goalkeeper,right,194.0,,KBM,Switzerland,Switzerland
1684,Milorad,Pekovic,Milorad Pekovic,1977-08-05,Midfield,left,189.0,,nan,Jugoslawien (SFR),Montenegro
1716,David,Odonkor,David Odonkor,1984-02-21,Attack,right,172.0,,nan,Germany,Germany
1725,Jesper,Christiansen,Jesper Christiansen,1978-04-24,Goalkeeper,left,194.0,,NSG ApS,Denmark,Denmark
1726,Heiko,Westermann,Heiko Westermann,1983-08-14,Defender,right,190.0,,nan,Germany,Germany
1743,Patrick,Platins,Patrick Platins,1983-04-19,Goalkeeper,right,190.0,,nan,Germany,Germany
1772,Du-ri,Cha,Du-ri Cha,1980-07-25,Defender,right,181.0,,nan,Germany,"Korea, South"
1784,René,Adler,René Adler,1985-01-15,Goalkeeper,nan,,,11WINS,East Germany (GDR),Germany
1791,Halil,Altintop,Halil Altintop,1982-12-08,Midfield,right,185.0,,nan,Germany,Turkey
1792,Hamit,Altintop,Hamit Altintop,1982-12-08,Midfield,right,183.0,,nan,Germany,Turkey
1841,Ali,Bilgin,Ali Bilgin,1981-12-17,Midfield,nan,,,nan,Germany,Turkey
1896,Ahmet,Cebe,Ahmet Cebe,1983-05-02,Defender,right,181.0,,nan,Germany,Germany
1944,Deniz,Dogan,Deniz Dogan,,Defender,left,181.0,,Dr. Oliver Wendt,Germany,Turkey
1986,Markus,Feulner,Markus Feulner,1982-02-12,Midfield,right,183.0,,Robert Schneider,Germany,Germany
2048,Philipp,Haastrup,Philipp Haastrup,1982-03-05,Defender,nan,,,nan,Germany,Germany
2050,Nelson,Valdez,Nelson Valdez,1983-11-28,Attack,right,179.0,,GG11 ,Paraguay,Paraguay
2138,Mladen,Kascelan,Mladen Kascelan,1983-02-13,Midfield,right,178.0,2023-06-30,FM Sports Agency,Jugoslawien (SFR),Montenegro
2148,Erdal,Kilicaslan,Erdal Kilicaslan,1984-08-23,Attack,nan,,,nan,Germany,Germany
2150,Oliver,Kirch,Oliver Kirch,1982-08-21,Midfield,right,182.0,,Dirk Hebel,Germany,Germany
2154,Patric,Klandt,Patric Klandt,1983-09-29,Goalkeeper,right,184.0,,nan,Germany,Germany
2201,Lukas,Kruse,Lukas Kruse,1983-07-09,Goalkeeper,right,185.0,,Günter Kutowski,Germany,Germany
2219,Philipp,Lahm,Philipp Lahm,1983-11-11,Defender,right,170.0,,acta7,Germany,Germany
2233,Christian,Lell,Christian Lell,1984-08-29,Defender,nan,,,nan,Germany,Germany
2306,Markus,Miller,Markus Miller,1982-04-08,Goalkeeper,right,189.0,,ARP Sportmarketing,Germany,Germany
2309,Zvjezdan,Misimovic,Zvjezdan Misimovic,1982-06-05,Midfield,both,179.0,,LIAN Sports Group,Germany,Bosnia-Herzegovina
2334,Marcel,Ndjeng,Marcel Ndjeng,1982-05-06,Midfield,right,180.0,,nan,Germany,Cameroon
2358,Patrick,Ochs,Patrick Ochs,1984-05-14,Defender,right,179.0,,nan,Germany,Germany
2374,Patrick,Owomoyela,Patrick Owomoyela,1979-11-05,Defender,right,187.0,,Uwe Kathmann,Germany,Germany
2386,Marjan,Petkovic,Marjan Petkovic,1979-05-22,Goalkeeper,right,186.0,,nan,Germany,Germany
2421,Michael,Rensing,Michael Rensing,1984-05-14,Goalkeeper,right,190.0,,Sports360 GmbH,Germany,Germany
2453,Mahir,Saglik,Mahir Saglik,1983-01-18,Attack,left,178.0,,nan,Germany,Turkey
2514,Bastian,Schweinsteiger,Bastian Schweinsteiger,1984-08-01,Midfield,nan,,,BS Family Office,Germany,Germany
2583,Thorsten,Stuckmann,Thorsten Stuckmann,1981-03-17,Goalkeeper,right,199.0,,nan,Germany,Germany
2587,Elyasa,Süme,Elyasa Süme,1983-08-13,Defender,nan,,,NG360,Germany,Turkey
2623,Piotr,Trochowski,Piotr Trochowski,1984-03-22,Midfield,right,169.0,,nan,Poland,Germany
2703,Morten,Skoubo,Morten Skoubo,1980-06-30,Attack,nan,,,nan,Denmark,Denmark
2712,Nando,Rafael,Nando Rafael,1984-01-10,Attack,both,180.0,,nan,Angola,Angola
2726,Romuald,Peiser,Romuald Peiser,1979-08-03,Goalkeeper,right,187.0,,nan,France,France
2767,Alexander,Madlung,Alexander Madlung,1982-07-11,Defender,nan,,,Uwe Kathmann,Germany,Germany
2805,Christian,Pander,Christian Pander,1983-08-28,Defender,nan,,,nan,Germany,Germany
2857,Eldin,Jakupovic,Eldin Jakupovic,1984-10-02,Goalkeeper,right,191.0,2023-12-31,nan,Jugoslawien (SFR),Switzerland
2865,Stephan,Lichtsteiner,Stephan Lichtsteiner,1984-01-16,Defender,right,182.0,,nan,Switzerland,Switzerland
2874,Mladen,Petric,Mladen Petric,1981-01-01,Attack,nan,,,Sports360 GmbH,Jugoslawien (SFR),Croatia
2878,Yassin,Mikari,Yassin Mikari,1983-01-09,Defender,left,172.0,,Rhein AG,Switzerland,Tunisia
2899,Hervé,Tum,Hervé Tum,1979-02-15,Attack,right,184.0,,nan,Cameroon,Cameroon
2904,Rafa,Márquez,Rafa Márquez,1979-02-13,Defender,right,184.0,,Gestifute,Mexico,Mexico
2923,Andreas,Ivanschitz,Andreas Ivanschitz,1983-10-15,Midfield,left,183.0,,nan,Austria,Austria
2926,György,Garics,György Garics,1984-03-08,Defender,nan,,,nan,Hungary,Austria
2950,Robert,Almer,Robert Almer,,Goalkeeper,left,194.0,,nan,Austria,Austria
2953,Paul,Scharner,Paul Scharner,1980-03-11,Midfield,right,191.0,,nan,Austria,Austria
2956,Roland,Linz,Roland Linz,1981-08-09,Attack,nan,,,nan,Austria,Austria
2963,Martín,Demichelis,Martín Demichelis,1980-12-20,Defender,right,184.0,,Jorge Cyterszpiler,Argentina,Argentina
2998,Robert,Huth,Robert Huth,1984-08-18,Defender,nan,,,Christian Nilles,East Germany (GDR),Germany
2999,Chris,Iwelumo,Chris Iwelumo,1978-08-01,Attack,nan,,,nan,Scotland,Scotland
3059,Ekrem,Dag,Ekrem Dag,1980-12-05,Defender,both,176.0,,Alpaslan Kayabunar,Turkey,Austria
3098,Olof,Mellberg,Olof Mellberg,1977-09-03,Defender,right,187.0,,ManMark S.A.,Sweden,Sweden
3109,Steven,Gerrard,Steven Gerrard,1980-05-30,Midfield,right,183.0,,Wasserman,England,England
3114,Jan,Schlaudraff,Jan Schlaudraff,1983-07-18,Attack,right,180.0,,Christian Nilles,Germany,Germany
3115,David,Bellion,David Bellion,1982-11-27,Attack,right,181.0,,nan,France,France
3118,Kieron,Dyer,Kieron Dyer,1978-12-29,Midfield,right,170.0,,CAA Stellar,England,England
3120,Richard,Wright,Richard Wright,1977-11-05,Goalkeeper,right,190.0,,CAA Stellar,England,England
3130,Titus,Bramble,Titus Bramble,1981-07-31,Defender,right,192.0,,nan,England,England
3131,Kevin,Phillips,Kevin Phillips,1973-07-25,Attack,right,170.0,,nan,England,England
3132,Florin,Cernat,Florin Cernat,1980-03-10,Midfield,left,168.0,,nan,Romania,Romania
3139,David,Beckham,David Beckham,1975-05-02,Midfield,right,182.0,,CAA Sports,England,England
3146,Shay,Given,Shay Given,1976-04-20,Goalkeeper,right,185.0,,CAA Stellar,Ireland,Ireland
3151,Carlo,Cudicini,Carlo Cudicini,1973-09-06,Goalkeeper,right,184.0,,nan,Italy,Italy
3156,William,Gallas,William Gallas,1977-08-17,Defender,right,182.0,,nan,France,France
3159,Valerio,Di Cesare,Valerio Di Cesare,1983-05-23,Defender,right,187.0,2024-06-30,MM-Management,Italy,Italy
3160,John,Terry,John Terry,1980-12-07,Defender,right,187.0,,nan,England,England
3163,Frank,Lampard,Frank Lampard,1978-06-20,Midfield,right,184.0,,nan,England,England
3165,nan,Cris,Cris,1977-06-03,Defender,right,183.0,,Rafaela Pimenta,Brazil,Brazil
3170,Simon,Cziommer,Simon Cziommer,1980-11-06,Midfield,nan,,,nan,Germany,Germany
3172,Quique,de Lucas,Quique de Lucas,1978-08-17,Midfield,right,175.0,,nan,Spain,Spain
3176,Eidur,Gudjohnsen,Eidur Gudjohnsen,1978-09-15,Attack,right,185.0,,Total Football,Iceland,Iceland
3179,Carlton,Cole,Carlton Cole,1983-10-12,Attack,right,191.0,,nan,England,England
3182,Ashley,Cole,Ashley Cole,1980-12-20,Defender,left,176.0,,CAA Stellar,England,England
3190,Stuart,Taylor,Stuart Taylor,1980-11-28,Goalkeeper,right,198.0,,nan,England,England
3195,Jermaine,Pennant,Jermaine Pennant,1983-01-15,Attack,right,173.0,,Andrew Sky,England,England
3201,Stathis,Tavlaridis,Stathis Tavlaridis,1980-01-25,Defender,right,186.0,,nan,Greece,Greece
3202,Kolo,Touré,Kolo Touré,1981-03-19,Defender,right,178.0,,nan,Cote d'Ivoire,Cote d'Ivoire
3205,David,Bentley,David Bentley,1984-08-27,Midfield,right,178.0,,SEM Group plc.,England,England
3216,Milan,Baros,Milan Baros,1981-10-28,Attack,right,183.0,,nan,CSSR,Czech Republic
3220,John Arne,Riise,John Arne Riise,1980-09-24,Defender,left,185.0,,nan,Norway,Norway
3226,Nicolas,Anelka,Nicolas Anelka,1979-03-14,Attack,right,186.0,,nan,France,France
3233,nan,Chris,Chris,1978-08-25,Defender,nan,,,nan,Brazil,Brazil
3235,Rio,Ferdinand,Rio Ferdinand,1978-11-07,Defender,right,189.0,,nan,England,England
3251,Stephen,Hughes,Stephen Hughes,1982-11-14,Midfield,right,180.0,,nan,Scotland,Scotland
3256,Roberto,Hilbert,Roberto Hilbert,1984-10-16,Defender,right,182.0,,nan,Germany,Germany
3259,Damien,Duff,Damien Duff,1979-03-02,Midfield,left,177.0,,nan,Ireland,Ireland
3266,Jérémie,Aliadière,Jérémie Aliadière,1983-03-30,Attack,right,183.0,,Mick Oliver,France,France
3269,Calvin,Zola,Calvin Zola,1984-12-31,Attack,right,191.0,,nan,Zaire,DR Congo
3270,Joseph,Yobo,Joseph Yobo,1980-09-06,Defender,right,188.0,,nan,Nigeria,Nigeria
3271,Luke,Young,Luke Young,1979-07-19,Defender,right,183.0,,nan,England,England
3273,Matthew,Upson,Matthew Upson,1979-04-18,Defender,left,185.0,,nan,England,England
3276,Shola,Ameobi,Shola Ameobi,1981-10-12,Attack,right,191.0,,nan,Nigeria,Nigeria
3287,Steve,Banks,Steve Banks,1972-02-09,Goalkeeper,right,180.0,,nan,England,England
3291,Gareth,Barry,Gareth Barry,1981-02-23,Midfield,left,184.0,,ppsports,England,England
3292,Joey,Barton,Joey Barton,1982-09-02,Midfield,right,180.0,,Willie McKay,England,England
3296,Paul,Konchesky,Paul Konchesky,1981-05-15,Defender,left,178.0,,CAA Base Ltd,England,England
3297,Craig,Bellamy,Craig Bellamy,1979-07-13,Attack,right,173.0,,nan,Wales,Wales
3306,Jonathan,Walters,Jonathan Walters,1983-09-20,Attack,right,183.0,,nan,England,Ireland
3310,Nicky,Weaver,Nicky Weaver,1979-03-02,Goalkeeper,right,191.0,,nan,England,England
3321,Luke,Wilkshire,Luke Wilkshire,1981-10-02,Defender,right,176.0,,nan,Australia,Australia
3322,Ben,Williams,Ben Williams,1982-08-27,Goalkeeper,left,188.0,,nan,England,England
3332,Wayne,Rooney,Wayne Rooney,1985-10-24,Attack,right,176.0,,Triple S Sports,England,England
3333,James,Milner,James Milner,1986-01-04,Midfield,right,175.0,2025-06-30,nan,England,England
3354,Jonathan,Blondel,Jonathan Blondel,1984-04-03,Midfield,left,173.0,,nan,Belgium,Belgium
3356,Sylvain,Distin,Sylvain Distin,1977-12-16,Defender,left,192.0,,CAA Stellar,France,France
3357,Mark,Schwarzer,Mark Schwarzer,1972-10-06,Goalkeeper,nan,,,nan,Australia,Australia
3366,nan,Kaká,Kaká,1982-04-22,Midfield,both,186.0,,nan,Brazil,Brazil
3391,Markus,Neumayr,Markus Neumayr,1986-03-26,Midfield,right,181.0,,nan,Germany,Germany
3395,Gábor,Babos,Gábor Babos,1974-10-24,Goalkeeper,right,196.0,,nan,Hungary,Hungary
3397,Paul,Scholes,Paul Scholes,1974-11-16,Midfield,right,168.0,,nan,England,England
3404,Phil,Neville,Phil Neville,1977-01-21,Defender,right,180.0,,nan,England,England
3405,Wes,Brown,Wes Brown,1979-10-13,Defender,right,184.0,,nan,England,England
3406,Ryan,Giggs,Ryan Giggs,1973-11-29,Midfield,left,179.0,,nan,Wales,Wales
3411,Pablo,Aimar,Pablo Aimar,1979-11-03,Midfield,right,170.0,,nan,Argentina,Argentina
3413,Rodrigo,Tello,Rodrigo Tello,1979-10-14,Attack,left,170.0,,nan,Chile,Chile
3417,Nicolás,Burdisso,Nicolás Burdisso,1981-04-12,Defender,right,183.0,,Martin Guastadisegno,Argentina,Argentina
3428,Dejan,Stankovic,Dejan Stankovic,1978-09-11,Midfield,right,181.0,,nan,Jugoslawien (SFR),Serbia
3441,Timmy,Simons,Timmy Simons,1976-12-11,Midfield,right,186.0,,nan,Belgium,Belgium
3447,Ragnvald,Soma,Ragnvald Soma,1979-11-10,Defender,left,189.0,,nan,Norway,Norway
3455,Zlatan,Ibrahimović,Zlatan Ibrahimović,1981-10-03,Attack,right,195.0,,Team Raiola,Sweden,Sweden
3458,Lomana,LuaLua,Lomana LuaLua,1980-12-28,Attack,right,180.0,,D&B SPORTS,Zaire,DR Congo
3461,Jermaine,Jenas,Jermaine Jenas,1983-02-18,Midfield,right,181.0,,nan,England,England
3466,Kevin,Stuhr-Ellegaard,Kevin Stuhr-Ellegaard,1983-05-23,Goalkeeper,right,196.0,,NSG ApS,Denmark,Denmark
3467,Shaun,Wright-Phillips,Shaun Wright-Phillips,1981-10-25,Attack,right,166.0,,Darren Dein,England,England
3473,Thomas,Sörensen,Thomas Sörensen,1976-06-12,Goalkeeper,right,196.0,,nan,Denmark,Denmark
3476,Brad,Friedel,Brad Friedel,1971-05-18,Goalkeeper,nan,,,nan,United States,United States
3480,Hugo,Viana,Hugo Viana,1983-01-15,Midfield,left,178.0,,Gestifute,Portugal,Portugal
3495,Dudu,Aouate,Dudu Aouate,1977-10-17,Goalkeeper,nan,188.0,,nan,Israel,Israel
3507,Christian,Abbiati,Christian Abbiati,1977-07-08,Goalkeeper,right,191.0,,nan,Italy,Italy
3515,Mark,van Bommel,Mark van Bommel,1977-04-22,Midfield,right,186.0,,nan,Netherlands,Netherlands
3525,Sylvain,Armand,Sylvain Armand,1980-08-01,Defender,left,182.0,,Léandre Chouya,France,France
3530,Jan,Polak,Jan Polak,1981-03-14,Midfield,nan,,,nan,CSSR,Czech Republic
3531,Robert,Vittek,Robert Vittek,1982-04-01,Attack,both,188.0,,nan,CSSR,Slovakia
3534,Roy,Carroll,Roy Carroll,1977-09-30,Goalkeeper,right,189.0,,nan,Northern Ireland,Northern Ireland
3535,nan,Ricardo,Ricardo,1971-12-30,Goalkeeper,left,187.0,,GLOBAL ASES,Spain,Spain
3539,Luke,Steele,Luke Steele,1984-09-24,Goalkeeper,right,188.0,,nan,England,England
3540,John,O'Shea,John O'Shea,1981-04-30,Defender,right,192.0,,nan,Ireland,Ireland
3547,Darren,Fletcher,Darren Fletcher,1984-02-01,Midfield,right,184.0,,nan,Scotland,Scotland
3548,Kieran,Richardson,Kieran Richardson,1984-10-21,Defender,left,177.0,,nan,England,England
3560,Jerome,Thomas,Jerome Thomas,1983-03-23,Attack,left,177.0,,nan,England,England
3562,Steve,Harper,Steve Harper,1975-03-14,Goalkeeper,right,188.0,,nan,England,England
3564,Adam,Collin,Adam Collin,1984-12-09,Goalkeeper,right,195.0,,nan,England,England
3569,Steed,Malbranque,Steed Malbranque,1980-01-06,Midfield,right,171.0,,nan,Belgium,France
3573,Julien,Escudé,Julien Escudé,1979-08-17,Defender,left,184.0,,nan,France,France
3575,Mickaël,Landreau,Mickaël Landreau,1979-05-14,Goalkeeper,right,184.0,,JL Sport Consulting,France,France
3580,Aaron,Hughes,Aaron Hughes,1979-11-08,Defender,right,183.0,,CAA Stellar,Northern Ireland,Northern Ireland
3583,Steve,Simonsen,Steve Simonsen,1979-04-03,Goalkeeper,right,187.0,,nan,England,England
3589,Gary,Naysmith,Gary Naysmith,1978-11-16,Defender,left,178.0,,nan,Scotland,Scotland
3597,Jamie,Carragher,Jamie Carragher,1978-01-28,Defender,right,185.0,,Wasserman,England,England
3613,Sean,O'Hanlon,Sean O'Hanlon,1983-01-02,Defender,right,185.0,,nan,England,England
3614,Tony,Hibbert,Tony Hibbert,1981-02-20,Defender,right,173.0,,nan,England,England
3620,Leon,Osman,Leon Osman,1981-05-17,Midfield,right,173.0,,CAA Stellar,England,England
3630,Paul,Robinson,Paul Robinson,1979-10-15,Goalkeeper,right,193.0,,SEM Group plc.,England,England
3634,Ian,Harte,Ian Harte,1977-08-31,Defender,left,175.0,,nan,Ireland,Ireland
3640,Mark,Hudson,Mark Hudson,1982-03-30,Defender,right,187.0,,nan,England,England
3666,Jason,Roberts,Jason Roberts,1978-01-25,Attack,right,185.0,,nan,England,Grenada
3668,Lloyd,Dyer,Lloyd Dyer,1982-09-13,Midfield,left,173.0,,nan,England,England
3682,Wayne,Bridge,Wayne Bridge,1980-08-05,Defender,left,178.0,,nan,England,England
3692,Jussi,Jääskeläinen,Jussi Jääskeläinen,1975-04-19,Goalkeeper,right,191.0,,nan,Finland,Finland
3698,Anton,Ferdinand,Anton Ferdinand,1985-02-18,Defender,right,185.0,,nan,England,England
3707,Bernard,Mendy,Bernard Mendy,1981-08-20,Defender,right,180.0,,nan,France,France
3713,Massimo,Maccarone,Massimo Maccarone,1979-09-06,Attack,right,180.0,,Assist,Italy,Italy
3719,Peter,Enckelman,Peter Enckelman,1977-03-10,Goalkeeper,right,188.0,,nan,Finland,Finland
3730,Kim,Källström,Kim Källström,1982-08-24,Midfield,left,185.0,,Roger Ljung,Sweden,Sweden
3753,Georgios,Theodoridis,Georgios Theodoridis,1980-07-03,Midfield,nan,,,Socceragent24,Germany,Greece
3755,Óscar,Ustari,Óscar Ustari,1986-07-03,Goalkeeper,right,183.0,2023-12-31,Primotempo,Argentina,Argentina
3762,Peter,Whittingham,Peter Whittingham,1984-09-08,Midfield,left,177.0,,nan,England,England
3771,Raúl,Bravo,Raúl Bravo,1981-04-14,Defender,left,181.0,,nan,Spain,Spain
3775,George,McCartney,George McCartney,1981-04-29,Defender,left,183.0,,nan,Northern Ireland,Northern Ireland
3783,Sam,Parkin,Sam Parkin,1981-03-14,Attack,left,188.0,,nan,England,Scotland
3785,Scott,Parker,Scott Parker,1980-10-13,Midfield,right,180.0,,nan,England,England
3788,Matthew,Etherington,Matthew Etherington,1981-08-14,Midfield,left,178.0,,TMUS Sports,England,England
